ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
3007,TADAWUL,OASIS,3007,Zahrat Al Waha For Trading Co.,TADAWUL,stock,Process Industries,Containers/Packaging,,name_mismatch
3018,TWSE,隆銘綠能科技工程股份有限公司,3018,Lung Ming Green Energy Technology Engineering Co Ltd.,TWSE,stock,Electronic Technology,Telecommunications Equipment,,name_mismatch
3026,TWSE,禾伸堂企業股份有限公司,3026,"Holy Stone Enterprise Co., Ltd.",TWSE,stock,Electronic Technology,Semiconductors,,name_mismatch
32QX,LSE,TELECOM EGYPT S.A.E GDS(EACH REPR 5 ORDS EGP10) (144A),32QX,Telecom Egypt Sponsored GDR 144A,LSE,dr,Communications,Major Telecommunications,,asset_type_mismatch
333,XETRA,ROSTRA AGC INH O.N. JGE,333,Rostra AG,XETR,stock,Process Industries,Chemicals: Specialty,,name_mismatch
3330,XETRA,Rostra AG,3330,Rostra AG,XETR,stock,Process Industries,Chemicals: Specialty,Materials,accept
37OC,LSE,OIL & GAS DEVELOPMENT COMPANY LD GDR (EACH REPR 10 ORD)(144A),37OC,Oil & Gas Development Co. Ltd. Sponsored GDR 144A,LSE,dr,Energy Minerals,Oil & Gas Production,,asset_type_mismatch
3IN,LSE,3I Infrastructure PLC,3IN,3i Infrastructure PLC,LSE,fund,Finance,Investment Managers,,asset_type_mismatch
3RB0,XETRA,"RECKITT BENCK.LS-,1041666",3RB0,Reckitt Benckiser Group plc,XETR,stock,Consumer Non-Durables,Household/Personal Care,,name_mismatch
4001,TADAWUL,A.OTHAIM MARKET,4001,Abdullah Al Othaim Markets Co.,TADAWUL,stock,Retail Trade,Food Retail,,name_mismatch
4002,TADAWUL,MOUWASAT,4002,Mouwasat Medical Services Co.,TADAWUL,stock,Health Services,Hospital/Nursing Management,,name_mismatch
4003,TADAWUL,EXTRA,4003,United Electronics Co.,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
4007,TADAWUL,ALHAMMADI,4007,Al Hammadi Holding,TADAWUL,stock,Health Services,Hospital/Nursing Management,,name_mismatch
4009,TADAWUL,SAUDI GERMAN HEALTH,4009,Middle East Healthcare Company,TADAWUL,stock,Health Services,Medical/Nursing Services,,name_mismatch
4018,TADAWUL,ALMOOSA,4018,Almoosa Health Co.,TADAWUL,stock,Health Services,Hospital/Nursing Management,,name_mismatch
4030,TADAWUL,BAHRI,4030,National Shipping Co. of Saudi Arabia,TADAWUL,stock,Transportation,Marine Shipping,,name_mismatch
4050,TADAWUL,SASCO,4050,Saudi Automotive Services Co.,TADAWUL,stock,Retail Trade,Specialty Stores,,name_mismatch
4070,TADAWUL,TAPRCO,4070,Tihama Advertising & Public Relations Co.,TADAWUL,stock,Commercial Services,Advertising/Marketing Services,,name_mismatch
4080,TADAWUL,SINAD HOLDING,4080,Sinad Holding Company,TADAWUL,stock,Finance,Financial Conglomerates,,unsupported_sector
4083,TADAWUL,TASHEEL,4083,United International Holding Co.,TADAWUL,stock,Finance,Finance/Rental/Leasing,,name_mismatch
4084,TADAWUL,DERAYAH,4084,Derayah Financial Company,TADAWUL,stock,Finance,Investment Managers,,name_mismatch
4090,TADAWUL,TAIBA,4090,Taiba Investment Company,TADAWUL,stock,Consumer Durables,Homebuilding,,name_mismatch
40T,SGX,ISEC,40T,ISEC Healthcare Ltd,SGX,stock,Health Services,Medical/Nursing Services,,name_mismatch
40V,SGX,Alset,40V,Alset International Limited.,SGX,stock,Consumer Durables,Homebuilding,,name_mismatch
40W,SGX,ZICO Hldgs,40W,ZICO Holdings Inc.,SGX,stock,Commercial Services,Miscellaneous Commercial Services,,name_mismatch
4110,TADAWUL,BATIC,4110,Batic Investments and Logistics Co.,TADAWUL,stock,Transportation,Trucking,,name_mismatch
4137,TWSE,麗豐股份有限公司,4137,Chlitina Holding Ltd.,TWSE,stock,Consumer Non-Durables,Household/Personal Care,,name_mismatch
4140,TADAWUL,SIECO,4140,Saudi Industrial Export Co.,TADAWUL,stock,Distribution Services,Wholesale Distributors,,name_mismatch
4141,TADAWUL,ALOMRAN,4141,Al-Omran Industrial & Trading Co.,TADAWUL,stock,Producer Manufacturing,Industrial Machinery,,name_mismatch
4143,TADAWUL,TALCO,4143,Al Taiseer Group Talco Industrial Co.,TADAWUL,stock,Non-Energy Minerals,Aluminum,,name_mismatch
4144,TADAWUL,RAOOM,4144,Raoom trading Company,TADAWUL,stock,Process Industries,Industrial Specialties,,name_mismatch
4145,TADAWUL,OGC,4145,Obeikan Glass Co,TADAWUL,stock,Process Industries,Industrial Specialties,,name_mismatch
4146,TADAWUL,GAS,4146,Gas Arabian Services Co,TADAWUL,stock,Industrial Services,Oilfield Services/Equipment,,name_mismatch
4148,TWSE,全宇生技控股有限公司,4148,All Cosmos Bio-Tech Holding Corp.,TWSE,stock,Process Industries,Chemicals: Agricultural,,name_mismatch
4162,TADAWUL,ALMUNAJEM,4162,Almunajem Foods Company,TADAWUL,stock,Distribution Services,Food Distributors,,name_mismatch
4190,TWSE,佐登妮絲集團股份有限公司,4190,Jourdeness Group Ltd.,TWSE,stock,Consumer Non-Durables,Household/Personal Care,,name_mismatch
